# {"t_start": 1551044220.717452, "env_id": "MyBulletCartPole-v0"} 
r,l,t
76.0,76,31.810778
158.0,158,31.935361
106.0,106,32.01866
63.0,63,32.070326
116.0,116,32.160826
78.0,78,32.223249
116.0,116,32.315324
66.0,66,32.366066
54.0,54,32.407903
74.0,74,32.466679
70.0,70,32.678627
62.0,62,32.729615
97.0,97,32.803501
70.0,70,32.858364
114.0,114,32.946698
102.0,102,33.024615
77.0,77,33.083905
71.0,71,33.138155
69.0,69,33.193793
70.0,70,33.248048
81.0,81,33.312062
51.0,51,33.352456
59.0,59,33.399233
123.0,123,33.494151
88.0,88,33.563155
61.0,61,33.612027
56.0,56,33.656741
50.0,50,33.695216
54.0,54,33.738961
57.0,57,33.784074
88.0,88,33.852717
164.0,164,33.979154
103.0,103,34.060432
61.0,61,34.108017
45.0,45,34.143385
51.0,51,34.184157
84.0,84,34.404376
60.0,60,34.457171
74.0,74,34.514748
112.0,112,34.603937
53.0,53,34.644287
136.0,136,34.750969
90.0,90,34.824041
92.0,92,34.896007
79.0,79,34.958427
114.0,114,35.047809
175.0,175,35.182822
100.0,100,35.263658
67.0,67,35.316271
132.0,132,35.418954
147.0,147,35.531569
64.0,64,35.581063
74.0,74,35.645327
110.0,110,35.730277
79.0,79,35.792285
80.0,80,35.854834
100.0,100,35.932681
91.0,91,36.003102
132.0,132,36.262375
75.0,75,36.319582
56.0,56,36.363921
98.0,98,36.437984
54.0,54,36.480945
58.0,58,36.523236
78.0,78,36.583242
186.0,186,36.726863
65.0,65,36.776553
45.0,45,36.811663
50.0,50,36.851572
61.0,61,36.900572
53.0,53,36.941784
68.0,68,36.994106
63.0,63,37.044918
44.0,44,37.08043
30.0,30,37.104245
61.0,61,37.154099
89.0,89,37.224949
67.0,67,37.278455
48.0,48,37.31521
74.0,74,37.372856
155.0,155,37.493516
60.0,60,37.54159
72.0,72,37.599379
73.0,73,37.658593
82.0,82,37.723373
62.0,62,37.771715
60.0,60,37.987537
53.0,53,38.031248
178.0,178,38.196652
75.0,75,38.257427
57.0,57,38.30525
42.0,42,38.34154
77.0,77,38.405263
56.0,56,38.451269
57.0,57,38.498031
97.0,97,38.574372
119.0,119,38.674376
54.0,54,38.71913
41.0,41,38.754837
54.0,54,38.798488
71.0,71,38.854684
70.0,70,38.91016
73.0,73,38.968674
200.0,200,39.130705
97.0,97,39.208335
80.0,80,39.270874
98.0,98,39.352041
80.0,80,39.428038
56.0,56,39.485439
53.0,53,39.533927
77.0,77,39.603816
83.0,83,39.843305
92.0,92,39.919347
190.0,190,40.068055
81.0,81,40.138613
86.0,86,40.214667
102.0,102,40.299032
73.0,73,40.358549
64.0,64,40.412264
22.0,22,40.429754
59.0,59,40.480355
66.0,66,40.534685
74.0,74,40.597682
108.0,108,40.685858
102.0,102,40.77131
55.0,55,40.819126
83.0,83,40.892274
77.0,77,40.963157
96.0,96,41.043895
44.0,44,41.07874
145.0,145,41.201407
160.0,160,41.333323
70.0,70,41.392042
134.0,134,41.501725
67.0,67,41.719967
84.0,84,41.790023
59.0,59,41.838117
62.0,62,41.902138
49.0,49,41.955593
172.0,172,42.112782
94.0,94,42.18805
71.0,71,42.253363
93.0,93,42.333879
99.0,99,42.419211
49.0,49,42.458396
54.0,54,42.501827
53.0,53,42.545568
189.0,189,42.707321
52.0,52,42.758041
60.0,60,42.822911
73.0,73,42.884374
68.0,68,42.938065
75.0,75,42.996555
53.0,53,43.037355
118.0,118,43.131904
111.0,111,43.222681
160.0,160,43.357148
112.0,112,43.449265
76.0,76,43.678554
79.0,79,43.741521
79.0,79,43.80484
66.0,66,43.86158
64.0,64,43.912582
49.0,49,43.950358
64.0,64,44.002422
56.0,56,44.046513
140.0,140,44.157005
72.0,72,44.21463
166.0,166,44.344959
176.0,176,44.481787
65.0,65,44.533059
93.0,93,44.604139
97.0,97,44.680066
63.0,63,44.729637
65.0,65,44.781766
94.0,94,44.855115
65.0,65,44.906805
93.0,93,44.979114
126.0,126,45.075013
120.0,120,45.171408
107.0,107,45.25334
101.0,101,45.488045
105.0,105,45.569982
103.0,103,45.649993
68.0,68,45.703278
69.0,69,45.759308
128.0,128,45.858563
77.0,77,45.920992
92.0,92,45.992341
71.0,71,46.04749
50.0,50,46.08508
90.0,90,46.15717
77.0,77,46.216758
141.0,141,46.327675
143.0,143,46.447447
64.0,64,46.499968
64.0,64,46.55242
200.0,200,46.709884
107.0,107,46.799181
44.0,44,46.835523
58.0,58,46.884324
67.0,67,46.941216
57.0,57,46.98728
143.0,143,47.275089
47.0,47,47.313036
108.0,108,47.406649
81.0,81,47.478524
61.0,61,47.529332
178.0,178,47.67147
74.0,74,47.732312
51.0,51,47.773651
200.0,200,47.943258
69.0,69,48.004896
72.0,72,48.0885
55.0,55,48.138607
57.0,57,48.192877
129.0,129,48.312751
77.0,77,48.372538
83.0,83,48.439451
68.0,68,48.491997
60.0,60,48.539248
75.0,75,48.600478
61.0,61,48.649077
200.0,200,48.807189
49.0,49,48.849685
52.0,52,48.890514
190.0,190,49.239257
64.0,64,49.302777
55.0,55,49.361448
78.0,78,49.427583
54.0,54,49.47241
93.0,93,49.549516
72.0,72,49.60768
116.0,116,49.703702
168.0,168,49.838132
105.0,105,49.924898
59.0,59,49.970905
57.0,57,50.021014
165.0,165,50.155426
72.0,72,50.21575
84.0,84,50.280859
39.0,39,50.313981
87.0,87,50.381394
62.0,62,50.43103
102.0,102,50.513813
85.0,85,50.588428
106.0,106,50.685569
71.0,71,50.752622
62.0,62,50.814422
108.0,108,51.067007
63.0,63,51.118587
51.0,51,51.159412
142.0,142,51.269508
62.0,62,51.321385
75.0,75,51.386775
56.0,56,51.438325
80.0,80,51.501962
200.0,200,51.66347
73.0,73,51.723995
59.0,59,51.769723
97.0,97,51.846107
197.0,197,52.004814
53.0,53,52.049556
53.0,53,52.089258
123.0,123,52.187626
88.0,88,52.259077
64.0,64,52.310132
50.0,50,52.348894
69.0,69,52.401765
58.0,58,52.448001
82.0,82,52.510327
112.0,112,52.598835
45.0,45,52.632934
46.0,46,52.668793
102.0,102,52.948796
139.0,139,53.097381
52.0,52,53.145651
97.0,97,53.224987
56.0,56,53.270355
161.0,161,53.404692
98.0,98,53.479931
59.0,59,53.527217
72.0,72,53.582938
120.0,120,53.674446
57.0,57,53.720432
136.0,136,53.837352
128.0,128,53.939611
63.0,63,53.989639
69.0,69,54.044782
118.0,118,54.136322
55.0,55,54.180221
88.0,88,54.250289
131.0,131,54.355241
64.0,64,54.409961
111.0,111,54.499862
33.0,33,54.527953
98.0,98,54.766588
65.0,65,54.818858
69.0,69,54.873268
85.0,85,54.943402
200.0,200,55.109965
60.0,60,55.160113
62.0,62,55.209909
129.0,129,55.318485
60.0,60,55.366871
51.0,51,55.407614
200.0,200,55.582402
109.0,109,55.670784
57.0,57,55.717504
91.0,91,55.792689
55.0,55,55.839699
53.0,53,55.888936
118.0,118,55.98501
77.0,77,56.065234
57.0,57,56.115423
57.0,57,56.171057
167.0,167,56.31673
85.0,85,56.387604
61.0,61,56.439969
194.0,194,56.786829
