approxkl,clipfrac,eplenmean,eprewmean,explained_variance,fps,nupdates,policy_entropy,policy_loss,serial_timesteps,time_elapsed,total_timesteps,value_loss
0.00021730707,0.0,200.0,200.0,0.03754293918609619,4796,375,0.28181022,-0.00030647262,768000,650.3447470664978,3072000,88.80304
0.00029389566,0.0,200.0,200.0,0.04152059555053711,4826,376,0.2832863,2.511224e-05,770048,652.0423519611359,3080192,88.165565
6.393585e-05,6.1035156e-05,200.0,200.0,0.07834303379058838,4825,377,0.28170946,-0.00013961415,772096,653.7403099536896,3088384,86.51305
0.00011651068,0.0,200.0,200.0,0.03478366136550903,4804,378,0.28577483,1.5789934e-05,774144,655.4458618164062,3096576,89.067764
3.2907297e-05,0.0,200.0,200.0,0.04512584209442139,4769,379,0.28636515,-0.0001300099,776192,657.1640770435333,3104768,88.8172
4.6955967e-05,3.0517578e-05,200.0,200.0,0.05035114288330078,4790,380,0.28754076,-0.0001830068,778240,658.8745589256287,3112960,88.36064
0.0004427437,0.00390625,200.0,200.0,0.052781522274017334,4826,381,0.29707542,-0.0004977545,780288,660.5722060203552,3121152,88.268295
9.804991e-05,0.0,200.0,200.0,0.05672252178192139,4813,382,0.3030253,-0.00013765923,782336,662.2747089862823,3129344,88.057686
7.349605e-05,0.0,200.0,200.0,0.02175438404083252,4831,383,0.30327424,-0.00014917062,784384,663.9705390930176,3137536,89.79458
8.479858e-05,6.1035156e-05,200.0,200.0,0.013993918895721436,4825,384,0.30493134,-0.0001890969,786432,665.6687769889832,3145728,90.83156
0.00014588023,0.00033569336,200.0,200.0,0.014720022678375244,4809,385,0.31419346,-0.0001586148,788480,667.3723878860474,3153920,90.20962
0.00012746552,0.00039672852,200.0,200.0,0.0067664384841918945,4827,386,0.3194483,-0.00015077255,790528,669.069944858551,3162112,91.0802
0.00023224804,0.00033569336,200.0,200.0,-0.004238724708557129,4839,387,0.3267549,-0.000104646184,792576,670.7630579471588,3170304,89.47183
0.00015897772,6.1035156e-05,200.0,200.0,0.0036412477493286133,4816,388,0.33063242,-0.00020366613,794624,672.4643788337708,3178496,91.98523
3.89516e-05,0.0,200.0,200.0,0.0016433000564575195,4804,389,0.33139363,2.0207128e-05,796672,674.1699109077454,3186688,90.79411
0.0006486147,0.0039367676,200.0,200.0,-0.0025752782821655273,4806,390,0.32893646,-0.0007708012,798720,675.8747038841248,3194880,90.98384
0.0022654713,0.02947998,200.0,200.0,-0.005243778228759766,4820,391,0.3202869,-0.00034562557,800768,677.5745317935944,3203072,89.11069
0.0012867947,0.0051574707,200.0,200.0,0.0012750625610351562,4803,392,0.31924933,-0.00025396614,802816,679.2803719043732,3211264,91.803116
0.00011488785,0.0,200.0,200.0,0.007319808006286621,4821,393,0.31848544,-0.000121234996,804864,680.979877948761,3219456,90.04929
0.00031545374,0.0020446777,200.0,200.0,0.00174027681350708,4817,394,0.31128782,-0.00031275704,806912,682.6807339191437,3227648,89.97595
