approxkl,clipfrac,dataset_rew,eplenmean,eprewmean,explained_variance,fps,nupdates,policy_entropy,policy_loss,serial_num_dones,serial_timesteps,time_elapsed,total_num_dones,total_timesteps,value_loss
0.006365155,0.085632324,19218.957212649286,895.4,8198.751,0.015056371688842773,656,68,1.43505,-0.0011521694,1,139264,2068.80709028244,5,557056,11479.213
0.0022378901,0.025817871,18914.38372504711,888.85,8140.2817,0.009702146053314209,539,69,1.4369705,-0.003415513,1,141312,2083.97833609581,7,565248,11102.088
0.0011235176,0.0018615723,19067.216089695692,890.02,8154.2046,0.02020120620727539,588,70,1.4392334,0.0006174063,1,143360,2097.9062581062317,6,573440,11271.826
0.000380781,0.0030212402,18785.178162932396,887.73,8127.3413,0.009039759635925293,499,71,1.4408946,-0.0009682874,2,145408,2114.9520211219788,8,581632,10893.341
0.006606032,0.08251953,19301.340670526028,889.94,8154.2783,0.021123409271240234,818,72,1.4412688,0.0027806642,0,147456,2124.955284357071,3,589824,11597.793
0.00088671094,0.008239746,17731.929761826992,900.94,8231.028,0.013177752494812012,830,73,1.4411674,-0.00073614845,0,149504,2134.8140840530396,3,598016,9837.406
0.012160264,0.17156982,19290.62118949741,917.9,8401.507,0.015262961387634277,745,74,1.4390061,0.0026671768,1,151552,2145.8085391521454,4,606208,11514.603
0.0057358635,0.07696533,19157.854319691658,908.48,8313.866,0.014908134937286377,589,75,1.4411665,-0.004040092,1,153600,2159.70872426033,6,614400,11351.513
0.0005876068,0.00033569336,19410.485063254833,912.65,8356.455,0.009459197521209717,1123,76,1.4439547,-0.0005479382,0,155648,2167.001888036728,1,622592,11762.655
0.0011559881,0.0048217773,19396.953604400158,928.22,8516.957,0.015621423721313477,667,77,1.4439434,-0.001411225,1,157696,2179.2792341709137,5,630784,11622.543
0.0002216263,0.0,18806.649959504604,894.01,8192.407,0.014929592609405518,536,78,1.4428813,0.000107653075,1,159744,2194.5571382045746,7,638976,10916.51
5.2566807e-05,0.0,18787.866321206093,904.67,8291.917,0.009084463119506836,463,79,1.4425105,0.0005757016,2,161792,2212.226836204529,9,647168,10850.586
0.0042821076,0.056793213,18864.27117395401,904.12,8289.432,0.011945128440856934,497,80,1.4420576,-0.001957095,2,163840,2228.6924951076508,8,655360,10925.322
0.0017838855,0.014404297,19247.379833191633,905.19,8309.994,0.013034403324127197,596,81,1.4438611,-0.001224292,1,165888,2243.0923340320587,6,663552,11383.576
0.00059806113,0.0011291504,19080.59516841173,914.0,8398.3545,0.011742115020751953,536,82,1.4445912,-0.0017549866,1,167936,2258.3701171875,7,671744,11181.568
0.0032488874,0.034057617,19459.38705906272,920.47,8465.04,0.01177436113357544,838,83,1.4440933,-0.0022444995,0,169984,2268.1421461105347,3,679936,11742.77
0.00031261018,0.00021362305,19285.8874405846,928.1,8537.72,0.002194225788116455,1151,84,1.4437318,-0.0012309777,0,172032,2275.258930206299,1,688128,11535.283
0.0023164104,0.01864624,19591.424209564924,945.12,8707.246,0.009810209274291992,942,85,1.4426342,0.00010412575,0,174080,2283.953059196472,2,696320,11881.085
0.00023060181,0.0005493164,19395.86825299263,962.67,8889.321,0.010828554630279541,579,86,1.443545,-0.0012385591,1,176128,2298.0978932380676,6,704512,11535.918
0.0060168193,0.086120605,19571.343563079834,944.64,8734.805,0.011117935180664062,655,87,1.4432881,-0.00024504744,1,178176,2310.5925080776215,5,712704,11738.862
0.0013970364,0.0046081543,19222.673691749573,944.64,8734.805,0.0031934380531311035,1414,88,1.444016,-0.0021005415,0,180224,2316.3837702274323,0,720896,11467.09
0.0016569553,0.009307861,19318.71861845255,947.22,8768.221,0.012075722217559814,544,89,1.4442797,0.0006048207,1,182272,2331.437652349472,7,729088,11351.116
0.00055971765,3.0517578e-05,19302.608277738094,968.11,8976.635,0.011013507843017578,593,90,1.4435282,-0.0010804575,1,184320,2345.2490332126617,6,737280,11398.452
0.0006083114,0.001373291,19699.776300430298,971.45,9012.737,0.008424758911132812,827,91,1.4428735,-0.001469994,0,186368,2355.7615349292755,3,745472,11922.761
0.0007077292,0.0014038086,19587.25046658516,971.45,9012.737,0.0015273094177246094,1373,92,1.4421587,0.0008753403,0,188416,2361.7267730236053,0,753664,11872.331
0.00036950508,0.00021362305,18932.71141910553,984.45,9127.59,0.0047016143798828125,1129,93,1.4408591,-0.00080677494,0,190464,2368.982743024826,1,761856,11057.423
0.0028293035,0.025390625,19716.341516435146,983.46,9120.575,0.0031774044036865234,1144,94,1.4400737,-0.00091479905,0,192512,2376.139507293701,1,770048,11982.65
0.00010708157,0.0,19371.832572072744,1002.86,9321.222,0.009297192096710205,597,95,1.440505,-0.00011146389,1,194560,2389.8558242321014,6,778240,11412.469
4.376207e-05,0.0,19469.75435203314,1014.16,9446.376,0.00872349739074707,660,96,1.4407352,-2.4421417e-05,1,196608,2402.250342130661,5,786432,11566.843
2.502789e-05,0.0,19631.53521066904,1012.34,9452.872,0.00833582878112793,722,97,1.4406234,6.440586e-05,1,198656,2413.594637155533,4,794624,11771.768
0.00010021868,0.0,19522.256543666124,1019.24,9529.086,0.009324908256530762,647,98,1.4395319,-0.00052310916,1,200704,2426.256562232971,5,802816,11601.009
0.0014125502,0.008331299,19363.515249311924,1021.61,9556.822,0.009148359298706055,597,99,1.4382908,-0.00029292906,1,202752,2439.966336965561,6,811008,11386.641
0.000103875966,0.0,19043.417641937733,997.46,9320.112,0.008600175380706787,546,100,1.4380196,-0.00041491233,1,204800,2454.969186067581,7,819200,11007.261
